algo,cache_size,miss_ratio,throughput
lru,0.1,0.8097,3.34
fifo,0.1,0.8075,3.36
pnac,0.1,0.7903,2.88
arc,0.1,0.7688,2.99
twoq,0.1,0.7695,1.15
lfu,0.1,0.7903,2.72
lru,0.2,0.7333,3.38
fifo,0.2,0.7409,3.25
pnac,0.2,0.6877,3.15
arc,0.2,0.6856,3.12
twoq,0.2,0.722,1.42
lfu,0.2,0.6877,3.03
lru,0.3,0.7132,3.41
fifo,0.3,0.736,3.46
pnac,0.3,0.6702,3.21
arc,0.3,0.6192,3.39
twoq,0.3,0.6693,1.51
lfu,0.3,0.6702,3.0
lru,0.4,0.6332,3.33
fifo,0.4,0.6343,3.71
pnac,0.4,0.5794,3.3
arc,0.4,0.5762,3.4
twoq,0.4,0.6335,1.67
lfu,0.4,0.5794,3.14
lru,0.5,0.6303,3.56
fifo,0.5,0.6336,3.67
pnac,0.5,0.5654,3.5
arc,0.5,0.5654,3.41
twoq,0.5,0.6323,1.66
lfu,0.5,0.5654,2.87
lru,0.05,0.8229,3.22
fifo,0.05,0.8232,3.23
pnac,0.05,0.8108,2.85
arc,0.05,0.8022,2.59
twoq,0.05,0.8158,1.22
sieve,0.05,0.8108,3.03
lru,0.1,0.8097,3.28
fifo,0.1,0.8075,3.18
pnac,0.1,0.7903,2.97
arc,0.1,0.7688,2.93
twoq,0.1,0.7695,1.28
sieve,0.1,0.7903,3.14
lru,0.2,0.7333,3.33
fifo,0.2,0.7409,3.33
pnac,0.2,0.6877,3.2
arc,0.2,0.6856,3.14
twoq,0.2,0.722,1.35
sieve,0.2,0.6877,2.91
lru,0.25,0.72,2.58
fifo,0.25,0.7385,2.95
pnac,0.25,0.6756,3.09
arc,0.25,0.6543,3.08
twoq,0.25,0.6863,1.44
sieve,0.25,0.6756,3.38
lru,0.3,0.7132,3.38
fifo,0.3,0.736,3.41
pnac,0.3,0.6702,3.18
arc,0.3,0.6192,3.18
twoq,0.3,0.6693,1.47
