algo,cache_size,miss_ratio,throughput
lru,0.05,0.3758,3.77
fifo,0.05,0.4068,3.77
pnac,0.05,0.3846,2.68
arc,0.05,0.3653,3.12
twoq,0.05,0.3517,1.32
sieve,0.05,0.3527,3.5
lfu,0.05,0.5484,3.74
lru,0.1,0.2554,3.33
fifo,0.1,0.2931,3.97
pnac,0.1,0.2661,2.59
arc,0.1,0.2542,3.5
twoq,0.1,0.252,1.39
sieve,0.1,0.2464,3.46
lfu,0.1,0.4082,3.02
lru,0.2,0.1737,3.03
fifo,0.2,0.2012,3.81
pnac,0.2,0.1667,2.65
arc,0.2,0.173,3.54
twoq,0.2,0.1662,1.37
sieve,0.2,0.1607,3.8
lfu,0.2,0.2505,3.18
lru,0.25,0.1488,3.85
fifo,0.25,0.1721,4.35
pnac,0.25,0.1409,3.27
arc,0.25,0.1463,3.2
twoq,0.25,0.1424,1.6
sieve,0.25,0.1362,4.27
lfu,0.25,0.1977,3.5
lru,0.3,0.1283,3.79
fifo,0.3,0.1557,4.76
pnac,0.3,0.1227,3.05
arc,0.3,0.1265,3.93
twoq,0.3,0.1274,1.72
sieve,0.3,0.1193,4.59
lfu,0.3,0.1619,3.22
lru,0.4,0.1048,4.09
fifo,0.4,0.1267,4.05
pnac,0.4,0.0991,3.9
arc,0.4,0.1035,4.07
twoq,0.4,0.1079,1.8
sieve,0.4,0.0974,3.93
lfu,0.4,0.1229,3.68
lru,0.5,0.0904,4.21
fifo,0.5,0.1056,4.09
pnac,0.5,0.0841,4.16
arc,0.5,0.0866,3.71
twoq,0.5,0.0957,1.95
sieve,0.5,0.0837,4.21
lfu,0.5,0.0995,3.64
lru,0.6,0.0794,4.17
fifo,0.6,0.0938,4.91
pnac,0.6,0.0755,3.86
arc,0.6,0.0766,3.66
twoq,0.6,0.0877,2.22
sieve,0.6,0.0753,4.29
lfu,0.6,0.0832,3.55
lru,0.75,0.0704,3.6
fifo,0.75,0.079,5.23
pnac,0.75,0.0683,4.7
arc,0.75,0.0685,3.64
twoq,0.75,0.079,2.88
sieve,0.75,0.0682,4.3
lfu,0.75,0.0682,3.68
lru,0.8,0.0688,4.08
fifo,0.8,0.0774,5.18
pnac,0.8,0.067,4.73
arc,0.8,0.067,3.78
twoq,0.8,0.0774,3.0
sieve,0.8,0.067,5.12
lfu,0.8,0.067,3.2
lru,0.9,0.0668,4.24
fifo,0.9,0.0718,4.47
pnac,0.9,0.066,4.88
arc,0.9,0.066,4.3
twoq,0.9,0.0718,3.3
sieve,0.9,0.066,5.07
lfu,0.9,0.066,3.68
lru,1.0,0.0655,4.28
fifo,1.0,0.0655,5.39
pnac,1.0,0.0655,4.35
arc,1.0,0.0655,3.86
twoq,1.0,0.0655,4.76
sieve,1.0,0.0655,4.9
lfu,1.0,0.0655,3.58
lru,0.05,0.3758,3.27
fifo,0.05,0.4068,3.79
pnac,0.05,0.3846,2.62
arc,0.05,0.3653,3.21
twoq,0.05,0.3517,1.29
sieve,0.05,0.3527,3.61
lfu,0.05,0.5484,3.75
lru,0.1,0.2554,3.45
fifo,0.1,0.2931,3.92
pnac,0.1,0.2661,2.64
arc,0.1,0.2542,3.41
twoq,0.1,0.252,1.46
sieve,0.1,0.2464,3.75
lfu,0.1,0.4082,3.68
lru,0.2,0.1737,3.72
fifo,0.2,0.2012,3.86
pnac,0.2,0.1667,3.07
arc,0.2,0.173,3.42
twoq,0.2,0.1662,1.64
sieve,0.2,0.1607,4.09
lfu,0.2,0.2505,3.7
lru,0.25,0.1488,3.96
fifo,0.25,0.1721,4.2
pnac,0.25,0.1409,3.01
arc,0.25,0.1463,3.63
twoq,0.25,0.1424,1.67
sieve,0.25,0.1362,4.43
lfu,0.25,0.1977,3.23
lru,0.3,0.1283,3.98
fifo,0.3,0.1557,4.08
pnac,0.3,0.1227,3.58
arc,0.3,0.1265,3.96
twoq,0.3,0.1274,1.8
sieve,0.3,0.1193,3.88
lfu,0.3,0.1619,3.73
lru,0.4,0.1048,3.98
fifo,0.4,0.1267,4.8
pnac,0.4,0.0991,3.82
arc,0.4,0.1035,3.69
twoq,0.4,0.1079,1.95
sieve,0.4,0.0974,4.66
lfu,0.4,0.1229,3.52
lru,0.5,0.0904,3.88
fifo,0.5,0.1056,4.15
pnac,0.5,0.0841,4.15
arc,0.5,0.0866,4.13
twoq,0.5,0.0957,1.95
sieve,0.5,0.0837,4.97
lfu,0.5,0.0995,3.54
lru,0.6,0.0794,4.03
fifo,0.6,0.0938,4.21
pnac,0.6,0.0755,4.43
arc,0.6,0.0766,4.14
twoq,0.6,0.0877,2.24
sieve,0.6,0.0753,4.31
lfu,0.6,0.0832,3.65
lru,0.75,0.0704,4.17
fifo,0.75,0.079,5.32
pnac,0.75,0.0683,3.94
arc,0.75,0.0685,4.28
twoq,0.75,0.079,2.6
sieve,0.75,0.0682,5.18
lfu,0.75,0.0682,3.64
lru,0.8,0.0688,4.09
fifo,0.8,0.0774,4.11
pnac,0.8,0.067,4.62
arc,0.8,0.067,4.33
twoq,0.8,0.0774,3.04
sieve,0.8,0.067,5.2
lfu,0.8,0.067,3.8
lru,0.9,0.0668,4.1
fifo,0.9,0.0718,5.22
pnac,0.9,0.066,4.61
arc,0.9,0.066,4.55
twoq,0.9,0.0718,3.32
sieve,0.9,0.066,5.04
lfu,0.9,0.066,3.56
lru,1.0,0.0655,4.36
fifo,1.0,0.0655,5.38
pnac,1.0,0.0655,4.29
arc,1.0,0.0655,4.4
twoq,1.0,0.0655,4.66
sieve,1.0,0.0655,4.51
lfu,1.0,0.0655,3.51
lru,0.05,0.3758,3.72
fifo,0.05,0.4068,3.51
pnac,0.05,0.3846,2.86
arc,0.05,0.3653,2.87
twoq,0.05,0.3517,1.3
sieve,0.05,0.3527,3.75
lfu,0.05,0.5484,3.79
lru,0.1,0.2554,3.62
fifo,0.1,0.2931,3.92
pnac,0.1,0.2661,2.63
arc,0.1,0.2542,3.44
twoq,0.1,0.252,1.43
sieve,0.1,0.2464,3.35
lfu,0.1,0.4082,3.61
lru,0.2,0.1737,3.38
fifo,0.2,0.2012,4.38
pnac,0.2,0.1667,2.85
arc,0.2,0.173,3.58
twoq,0.2,0.1662,1.61
sieve,0.2,0.1607,3.95
lfu,0.2,0.2505,3.33
lru,0.25,0.1488,3.78
fifo,0.25,0.1721,4.0
pnac,0.25,0.1409,3.28
arc,0.25,0.1463,3.71
twoq,0.25,0.1424,1.69
sieve,0.25,0.1362,3.67
lfu,0.25,0.1977,3.47
lru,0.3,0.1283,3.4
fifo,0.3,0.1557,4.66
pnac,0.3,0.1227,3.46
arc,0.3,0.1265,3.92
twoq,0.3,0.1274,1.64
sieve,0.3,0.1193,4.31
lfu,0.3,0.1619,3.19
lru,0.4,0.1048,4.04
fifo,0.4,0.1267,4.78
pnac,0.4,0.0991,3.5
arc,0.4,0.1035,3.87
twoq,0.4,0.1079,1.77
sieve,0.4,0.0974,4.62
lfu,0.4,0.1229,3.52
lru,0.5,0.0904,4.0
fifo,0.5,0.1056,4.79
pnac,0.5,0.0841,3.67
arc,0.5,0.0866,3.57
twoq,0.5,0.0957,1.96
sieve,0.5,0.0837,4.24
lfu,0.5,0.0995,3.41
lru,0.6,0.0794,3.56
fifo,0.6,0.0938,4.92
pnac,0.6,0.0755,4.37
arc,0.6,0.0766,4.06
twoq,0.6,0.0877,2.13
sieve,0.6,0.0753,4.64
lfu,0.6,0.0832,3.5
lru,0.75,0.0704,3.77
fifo,0.75,0.079,5.22
pnac,0.75,0.0683,4.58
arc,0.75,0.0685,3.98
twoq,0.75,0.079,2.77
sieve,0.75,0.0682,4.9
lfu,0.75,0.0682,3.28
lru,0.8,0.0688,4.1
fifo,0.8,0.0774,4.59
pnac,0.8,0.067,4.65
arc,0.8,0.067,4.03
twoq,0.8,0.0774,2.76
sieve,0.8,0.067,4.89
lfu,0.8,0.067,3.17
lru,0.9,0.0668,4.07
fifo,0.9,0.0718,4.97
pnac,0.9,0.066,4.6
arc,0.9,0.066,4.09
twoq,0.9,0.0718,3.33
sieve,0.9,0.066,4.54
lfu,0.9,0.066,3.62
lru,1.0,0.0655,3.84
fifo,1.0,0.0655,5.28
pnac,1.0,0.0655,4.77
