algo,cache_size,miss_ratio,throughput
lru,0.05,0.2138,3.83
fifo,0.05,0.2393,4.64
pnac,0.05,0.1849,4.54
arc,0.05,0.1826,4.08
twoq,0.05,0.1922,1.75
sieve,0.05,0.1849,4.84
lfu,0.05,0.1849,3.25
lru,0.1,0.1911,4.29
fifo,0.1,0.2138,4.77
pnac,0.1,0.1784,4.64
arc,0.1,0.1775,4.14
twoq,0.1,0.1792,1.8
sieve,0.1,0.1784,4.96
lfu,0.1,0.1784,3.28
lru,0.2,0.1656,4.31
fifo,0.2,0.1856,4.82
pnac,0.2,0.1631,4.67
arc,0.2,0.163,4.18
twoq,0.2,0.1706,1.94
sieve,0.2,0.1631,4.88
lfu,0.2,0.1631,3.29
lru,0.25,0.1639,4.34
fifo,0.25,0.1813,4.98
pnac,0.25,0.1623,4.73
arc,0.25,0.1622,4.2
twoq,0.25,0.1697,1.97
sieve,0.25,0.1623,4.99
lfu,0.25,0.1623,3.29
lru,0.3,0.1616,4.35
fifo,0.3,0.176,5.05
pnac,0.3,0.1607,4.68
arc,0.3,0.1607,4.25
twoq,0.3,0.1681,2.03
sieve,0.3,0.1607,4.91
lfu,0.3,0.1607,3.31
lru,0.4,0.1598,4.35
fifo,0.4,0.1705,5.0
pnac,0.4,0.1595,4.69
arc,0.4,0.1595,4.21
twoq,0.4,0.1665,2.21
sieve,0.4,0.1595,4.93
lfu,0.4,0.1595,3.24
lru,0.5,0.1589,4.41
fifo,0.5,0.1661,5.07
pnac,0.5,0.1587,4.58
arc,0.5,0.1587,4.19
twoq,0.5,0.1654,2.38
sieve,0.5,0.1587,4.86
lfu,0.5,0.1587,3.26
lru,0.6,0.158,4.36
fifo,0.6,0.1645,5.07
pnac,0.6,0.1579,4.63
arc,0.6,0.1579,4.22
twoq,0.6,0.1645,2.62
sieve,0.6,0.1579,4.87
lfu,0.6,0.1579,3.25
lru,0.75,0.157,4.39
fifo,0.75,0.1625,5.12
pnac,0.75,0.157,4.54
arc,0.75,0.157,4.24
twoq,0.75,0.1625,3.07
sieve,0.75,0.157,4.81
lfu,0.75,0.157,3.19
lru,0.8,0.1568,4.32
fifo,0.8,0.1617,5.07
pnac,0.8,0.1568,4.53
arc,0.8,0.1568,4.28
twoq,0.8,0.1617,3.25
sieve,0.8,0.1568,4.9
lfu,0.8,0.1568,3.19
lru,0.9,0.1566,4.38
fifo,0.9,0.1598,5.09
pnac,0.9,0.1566,4.59
arc,0.9,0.1566,4.33
twoq,0.9,0.1598,3.7
sieve,0.9,0.1566,4.74
lfu,0.9,0.1566,3.19
lru,1.0,0.1566,4.37
fifo,1.0,0.1566,5.13
pnac,1.0,0.1566,4.6
arc,1.0,0.1566,4.33
twoq,1.0,0.1566,4.31
sieve,1.0,0.1566,4.85
lfu,1.0,0.1566,3.23
lru,0.05,0.2138,4.21
fifo,0.05,0.2393,4.68
pnac,0.05,0.1849,4.49
arc,0.05,0.1826,3.77
twoq,0.05,0.1922,1.71
sieve,0.05,0.1849,4.85
lfu,0.05,0.1849,3.25
