algo,cache_size,miss_ratio,throughput
lru,0.05,0.3199,1.99
fifo,0.05,0.3661,2.46
pnac,0.05,0.2685,2.23
arc,0.05,0.2777,1.93
twoq,0.05,0.2807,0.93
sieve,0.05,0.2633,2.58
lfu,0.05,0.3026,2.17
lru,0.1,0.2306,2.08
fifo,0.1,0.2731,2.6
pnac,0.1,0.1915,2.31
arc,0.1,0.1951,1.91
twoq,0.1,0.2025,0.96
sieve,0.1,0.1897,2.65
lfu,0.1,0.2117,2.14
lru,0.2,0.1563,2.05
fifo,0.2,0.1919,2.55
pnac,0.2,0.1368,2.44
arc,0.2,0.1364,1.79
twoq,0.2,0.1471,0.98
sieve,0.2,0.1373,2.48
lfu,0.2,0.1432,1.71
lru,0.25,0.1391,2.23
fifo,0.25,0.1709,3.06
pnac,0.25,0.1239,2.76
arc,0.25,0.1228,1.99
twoq,0.25,0.1349,1.18
sieve,0.25,0.1245,3.04
lfu,0.25,0.1259,2.14
lru,0.3,0.127,2.26
fifo,0.3,0.1554,3.04
pnac,0.3,0.1152,2.74
arc,0.3,0.1131,1.98
twoq,0.3,0.1278,1.18
sieve,0.3,0.1153,3.02
lfu,0.3,0.1153,2.12
lru,0.4,0.1116,2.18
fifo,0.4,0.135,3.07
pnac,0.4,0.1043,2.74
arc,0.4,0.1026,1.94
twoq,0.4,0.1196,1.17
sieve,0.4,0.1043,2.83
lfu,0.4,0.1043,1.9
lru,0.5,0.102,2.11
fifo,0.5,0.1215,2.99
pnac,0.5,0.0981,2.58
arc,0.5,0.0975,1.83
twoq,0.5,0.1139,1.24
sieve,0.5,0.0981,2.83
lfu,0.5,0.0981,2.01
lru,0.6,0.0959,1.56
fifo,0.6,0.1105,2.36
pnac,0.6,0.0941,1.86
arc,0.6,0.094,1.63
twoq,0.6,0.1094,1.05
sieve,0.6,0.0941,2.01
lfu,0.6,0.0941,1.41
lru,0.75,0.0911,1.68
fifo,0.75,0.1028,2.27
pnac,0.75,0.0906,1.72
arc,0.75,0.0906,1.46
twoq,0.75,0.1028,1.12
sieve,0.75,0.0906,1.9
lfu,0.75,0.0906,1.27
lru,0.05,0.3199,2.04
fifo,0.05,0.3661,2.52
pnac,0.05,0.2685,2.13
arc,0.05,0.2777,1.87
twoq,0.05,0.2807,0.93
sieve,0.05,0.2633,3.12
lfu,0.05,0.3026,2.67
lru,0.1,0.2306,2.44
fifo,0.1,0.2731,3.0
pnac,0.1,0.1915,2.85
arc,0.1,0.1951,2.34
twoq,0.1,0.2025,1.18
sieve,0.1,0.1897,3.23
lfu,0.1,0.2117,2.59
lru,0.2,0.1563,2.38
fifo,0.2,0.1919,3.23
pnac,0.2,0.1368,3.02
arc,0.2,0.1364,2.15
twoq,0.2,0.1471,1.17
sieve,0.2,0.1373,3.23
lfu,0.2,0.1432,2.25
lru,0.25,0.1391,2.44
fifo,0.25,0.1709,3.16
pnac,0.25,0.1239,2.94
arc,0.25,0.1228,2.13
twoq,0.25,0.1349,1.19
sieve,0.25,0.1245,3.08
lfu,0.25,0.1259,2.19
lru,0.3,0.127,2.27
fifo,0.3,0.1554,3.05
pnac,0.3,0.1152,2.44
arc,0.3,0.1131,1.67
twoq,0.3,0.1278,1.13
sieve,0.3,0.1153,2.87
lfu,0.3,0.1153,2.03
lru,0.4,0.1116,2.01
fifo,0.4,0.135,2.93
pnac,0.4,0.1043,2.47
arc,0.4,0.1026,1.83
twoq,0.4,0.1196,1.18
sieve,0.4,0.1043,2.8
lfu,0.4,0.1043,1.93
lru,0.5,0.102,2.1
fifo,0.5,0.1215,2.88
pnac,0.5,0.0981,2.47
arc,0.5,0.0975,1.71
twoq,0.5,0.1139,1.15
sieve,0.5,0.0981,2.73
lfu,0.5,0.0981,1.95
lru,0.6,0.0959,2.01
fifo,0.6,0.1105,2.83
pnac,0.6,0.0941,2.34
arc,0.6,0.094,1.82
twoq,0.6,0.1094,1.24
